id;name;pseudonym;date_of_appearance;publisher_id
1;Bruce Wayne;Batman;1939-05-01;2
2;Robin;Robin;1940-04-01;2
3;Clark Kent;Superman;1938-06-01;2
4;Alan Scott;Green Lantern;1940-06-01;2
5;Logan;Wolverine;1974-10-01;1
6;Peter Parker;Spiderman;1962-08-01;1
7;Tony Stark;Ironman;1963-03-01;1
8;Steve Rogers;Captain America;1941-03-01;1
9;Son Goku;Goku;1986-02-26;3
10;Krilin;Krilin;1986-02-26;3
11;Princ Vegeta;Vegeta;1986-02-26;3
12;Gohan;Gohan;1986-02-26;3
